city_norm,total_facilities,hospitals,clinics,rhu_count,bhs_count,birthing_homes,dialysis_centers,laboratories,pharmacies,total_bed_capacity,weighted_facility_score,level3_hospitals,level2_hospitals,level1_hospitals,private_facility_count,gov_facility_count,licensed_facilities,private_to_public_ratio,private_ownership_pct,public_primary_care_score
CALOOCAN,235,11,63,50,16,63,13,11,0,1131,407.5,4,17,18,158,77,165,2.0519,0.6723,66
LAS PINAS,106,10,31,31,0,13,7,10,0,1193,175.5,3,5,4,68,38,80,1.7895,0.6415,31
MAKATI,166,3,73,18,0,5,6,35,0,717,230.5,1,4,2,137,29,148,4.7241,0.8253,18
MALABON,72,3,22,20,0,10,7,8,0,120,122.5,1,7,3,46,26,50,1.7692,0.6389,20
MANDALUYONG,119,4,39,28,0,2,10,17,0,4994,208.0,4,15,2,81,38,86,2.1316,0.6807,28
MANILA,361,26,106,47,0,11,17,66,0,7158,566.0,22,11,22,287,74,353,3.8784,0.795,47
MARIKINA,108,8,33,18,0,15,9,14,0,792,168.0,1,3,4,78,30,103,2.6,0.7222,18
MUNTINLUPA,109,7,37,16,1,13,8,19,0,745,166.0,3,1,3,82,27,92,3.037,0.7523,17
NAVOTAS,35,1,7,9,7,8,0,2,0,71,52.5,0,1,0,13,22,17,0.5909,0.3714,16
PARANAQUE,137,9,55,15,5,14,13,20,0,736,210.5,0,5,5,111,26,121,4.2692,0.8102,20
PASAY,102,5,37,13,0,11,4,19,0,715,150.0,3,2,1,84,18,101,4.6667,0.8235,13
PASIG,201,13,62,42,1,29,15,33,0,1706,312.5,3,6,6,142,59,187,2.4068,0.7065,43
PATEROS,14,1,4,5,0,4,0,0,0,68,26.5,0,1,4,9,5,9,1.8,0.6429,5
QUEZON CITY,670,41,238,66,1,73,55,131,0,10203,1046.0,18,16,23,529,141,597,3.7518,0.7896,67
SAN JUAN,50,3,20,12,6,1,1,5,0,472,76.5,1,1,1,27,23,30,1.1739,0.54,18
TAGUIG,188,12,55,43,0,42,8,18,0,2261,297.5,3,4,8,122,66,154,1.8485,0.6489,43
VALENZUELA,137,5,35,45,11,18,5,13,0,528,212.0,2,2,2,65,72,82,0.9028,0.4745,56
