facility_code,facility_name,facility_major_type,facility_type,facility_category,ownership_major,is_private,is_licensed,city_raw,city_norm,barangay,service_capability,doh_level,service_level_weight,bed_capacity,license_status
DOH000000000049664,1 LIFE INC.,Health Facility,Medical Outpatient Clinic,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,SANTO DOMINGO,,0,1.5,0,Licensing Status:With License
DOH000000000051115,1 SEALANDERS MEDICAL CLINIC OPC,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,PACO,MANILA,BARANGAY 675,Regular Medical Facility (Overseas workers & Seafarers),0,1.0,0,Licensing Status:With License
DOH000000000040931,130 DOCTORS POLYCLINIC LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF TAGUIG,TAGUIG,WESTERN BICUTAN,,0,1.5,0,Licensing Status:With License
DOH000000000040909,1421 MEDICAL LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF TAGUIG,TAGUIG,LIGID-TIPAS,,0,1.5,0,Licensing Status:With License
DOH000000000053177,1COOPHEALTH CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,PINYAHAN,,0,1.5,0,Licensing Status:With License
DOH000000000040452,3 KINGS BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MALABON,MALABON,TA?ONG (POB.),,0,1.5,1,Licensing Status:With License
DOH000000000048350,3 STAR MEDICAL CLINIC AND DIAGNOSTIC CENTER INC.,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,QUEZON CITY,QUEZON CITY,SOUTH TRIANGLE,,0,1.0,0,Licensing Status:With License
DOH000000000033213,3M'S 24 HRS. LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,BATASAN HILLS,,0,1.5,1,Licensing Status:With License
DOH000000000008279,3S BAGBAGUIN HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF VALENZUELA,VALENZUELA,BAGBAGUIN,,0,1.5,0,
DOH000000000012254,3S MARULAS HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,CITY OF VALENZUELA,VALENZUELA,MARULAS,,0,1.5,0,Licensing Status:With License
DOH000000000048122,4L DIAGNOSTIC CENTER,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,MALATE,MANILA,BARANGAY 693,,0,1.0,0,Licensing Status:With License
DOH000000000049378,51ST ENGINEER BRIGADE DRUG TESTING CENTER,Health Facility,Drug Testing Laboratory,laboratory,Government,0,1,QUEZON CITY,QUEZON CITY,LIBIS,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000049502,958 E. RODRIGUEZ SR. AVE.,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,MARIANA,Screening (Drug testing),0,1.0,0,Licensing Status:With License
