city_norm,population_2020,population_2024,pop_growth_rate_pct
CALOOCAN,1661584,1712945,0.73
LAS PINAS,606293,615549,0.36
MAKATI,292743,309770,1.37
MALABON,380522,389929,0.59
MANDALUYONG,425758,465902,2.18
MANILA,1846513,1902590,0.72
MARIKINA,456059,471323,0.79
MUNTINLUPA,543445,552225,0.39
NAVOTAS,247543,252878,0.51
PARANAQUE,689992,703245,0.46
PASAY,440656,453186,0.67
PASIG,803159,853050,1.46
QUEZON CITY,2960048,3084270,0.99
SAN JUAN,126347,134312,1.48
TAGUIG,1223595,1308085,1.61
VALENZUELA,714978,725173,0.34
PATEROS,65227,67319,0.76
