city_norm,poverty_threshold_2023_php,poverty_incidence_2021_pct,poverty_incidence_2023_pct
CALOOCAN,37710.94,4.2,1.9
LAS PINAS,37710.94,2.5,0.7
MAKATI,37710.94,0.8,0.6
MALABON,37710.94,2.9,1.5
MANDALUYONG,37710.94,0.4,0.3
MANILA,37710.94,1.1,1.6
MARIKINA,37710.94,1.6,0.7
MUNTINLUPA,37710.94,1.7,0.1
NAVOTAS,37710.94,3.1,2.5
PARANAQUE,37710.94,2.5,0.6
PASAY,37710.94,2.3,0.5
PASIG,37710.94,2.2,2.1
PATEROS,37710.94,2.9,0.8
QUEZON CITY,37710.94,1.8,0.7
SAN JUAN,37710.94,,
TAGUIG,37710.94,4.5,2.0
VALENZUELA,37710.94,1.5,0.7
