city_norm,population_2020,population_2024,pop_growth_rate_pct,total_facilities,hospitals,clinics,rhu_count,bhs_count,birthing_homes,dialysis_centers,laboratories,pharmacies,total_bed_capacity,weighted_facility_score,level3_hospitals,level2_hospitals,level1_hospitals,private_facility_count,gov_facility_count,licensed_facilities,private_to_public_ratio,private_ownership_pct,public_primary_care_score,poverty_threshold_2023_php,poverty_incidence_2021_pct,poverty_incidence_2023_pct,nearest_public_tertiary_km,facility_density_per10k,hospital_density_per10k,beds_per_1000,weighted_score_per10k,public_primary_per10k,level3_per100k,econ_friction_ratio,effective_public_beds_per1000,market_exclusion_index,accessibility_gap_score,vulnerability_label,vulnerability_score
CALOOCAN,1661584,1712945,0.73,235,11,63,50,16,63,13,11,0,1131,407.5,4,17,18,158,77,165,2.0519,0.6723,66,37710.94,4.2,1.9,3.7154,1.37,0.0642,0.6603,2.3789,0.3853,0.2335,0.1326,0.2164,0.5714,0.1853,High,2
LAS PINAS,606293,615549,0.36,106,10,31,31,0,13,7,10,0,1193,175.5,3,5,4,68,38,80,1.7895,0.6415,31,37710.94,2.5,0.7,1.0331,1.72,0.1625,1.9381,2.8511,0.5036,0.4874,0.1326,0.6948,0.3647,0.1651,Low,0
MAKATI,292743,309770,1.37,166,3,73,18,0,5,6,35,0,717,230.5,1,4,2,137,29,148,4.7241,0.8253,18,37710.94,0.8,0.6,3.108,5.36,0.0968,2.3146,7.441,0.5811,0.3228,0.1326,0.4044,0.3664,0.2736,Medium,1
MALABON,380522,389929,0.59,72,3,22,20,0,10,7,8,0,120,122.5,1,7,3,46,26,50,1.7692,0.6389,20,37710.94,2.9,1.5,4.8058,1.85,0.0769,0.3077,3.1416,0.5129,0.2565,0.1326,0.1111,0.4457,0.1679,Medium,1
MANDALUYONG,425758,465902,2.18,119,4,39,28,0,2,10,17,0,4994,208.0,4,15,2,81,38,86,2.1316,0.6807,28,37710.94,0.4,0.3,3.8268,2.55,0.0859,10.719,4.4645,0.601,0.8585,0.1326,3.4226,0.1607,0.1861,Low,0
MANILA,1846513,1902590,0.72,361,26,106,47,0,11,17,66,0,7158,566.0,22,11,22,287,74,353,3.8784,0.795,47,37710.94,1.1,1.6,0.8913,1.9,0.1367,3.7622,2.9749,0.247,1.1563,0.1326,0.7713,1.1159,0.2537,High,2
MARIKINA,456059,471323,0.79,108,8,33,18,0,15,9,14,0,792,168.0,1,3,4,78,30,103,2.6,0.7222,18,37710.94,1.6,0.7,1.8262,2.29,0.1697,1.6804,3.5644,0.3819,0.2122,0.1326,0.4668,0.2257,0.2094,Low,0
MUNTINLUPA,543445,552225,0.39,109,7,37,16,1,13,8,19,0,745,166.0,3,1,3,82,27,92,3.037,0.7523,17,37710.94,1.7,0.1,2.3593,1.97,0.1268,1.3491,3.006,0.3078,0.5433,0.1326,0.3342,0.7932,0.2265,Medium,1
NAVOTAS,247543,252878,0.51,35,1,7,9,7,8,0,2,0,71,52.5,0,1,0,13,22,17,0.5909,0.3714,16,37710.94,3.1,2.5,6.0563,1.38,0.0395,0.2808,2.0761,0.6327,0.0,0.1326,0.1765,0.0,0.3582,High,2
PARANAQUE,689992,703245,0.46,137,9,55,15,5,14,13,20,0,736,210.5,0,5,5,111,26,121,4.2692,0.8102,20,37710.94,2.5,0.6,6.2917,1.95,0.128,1.0466,2.9933,0.2844,0.0,0.1326,0.1986,0.0,0.5265,High,2
PASAY,440656,453186,0.67,102,5,37,13,0,11,4,19,0,715,150.0,3,2,1,84,18,101,4.6667,0.8235,13,37710.94,2.3,0.5,0.0,2.25,0.1103,1.5777,3.3099,0.2869,0.662,0.1326,0.2785,1.0922,0.2713,Low,0
PASIG,803159,853050,1.46,201,13,62,42,1,29,15,33,0,1706,312.5,3,6,6,142,59,187,2.4068,0.7065,43,37710.94,2.2,2.1,0.4563,2.36,0.1524,1.9999,3.6633,0.5041,0.3517,0.1326,0.587,0.3528,0.2003,Medium,1
QUEZON CITY,2960048,3084270,0.99,670,41,238,66,1,73,55,131,0,10203,1046.0,18,16,23,529,141,597,3.7518,0.7896,67,37710.94,1.8,0.7,1.5711,2.17,0.1329,3.3081,3.3914,0.2172,0.5836,0.1326,0.696,0.6326,0.2501,Low,0
SAN JUAN,126347,134312,1.48,50,3,20,12,6,1,1,5,0,472,76.5,1,1,1,27,23,30,1.1739,0.54,18,37710.94,,,3.8064,3.72,0.2234,3.5142,5.6957,1.3402,0.7445,0.1326,1.6165,0.1703,0.1215,Low,0
TAGUIG,1223595,1308085,1.61,188,12,55,43,0,42,8,18,0,2261,297.5,3,4,8,122,66,154,1.8485,0.6489,43,37710.94,4.5,2.0,0.8817,1.44,0.0917,1.7285,2.2743,0.3287,0.2293,0.1326,0.6069,0.2178,0.1695,Medium,1
VALENZUELA,714978,725173,0.34,137,5,35,45,11,18,5,13,0,528,212.0,2,2,2,65,72,82,0.9028,0.4745,56,37710.94,1.5,0.7,0.9563,1.89,0.0689,0.7281,2.9234,0.7722,0.2758,0.1326,0.3826,0.2514,0.0905,Low,0
PATEROS,65227,67319,0.76,14,1,4,5,0,4,0,0,0,68,26.5,0,1,4,9,5,9,1.8,0.6429,5,37710.94,2.9,0.8,2.786,2.08,0.1485,1.0101,3.9365,0.7427,0.0,0.1326,0.3607,0.0,0.4586,Medium,1
