rank,city,wd_score,pub_beds_1000,nearest_km,poverty_pct,private_pct
1,NAVOTAS,0.0,0.176,6.056,2.5,37.1
2,PATEROS,0.0654,0.361,2.786,0.8,64.3
3,PARANAQUE,0.1122,0.199,6.292,0.6,81.0
4,MALABON,0.1203,0.111,4.806,1.5,63.9
5,SAN JUAN,0.1248,1.616,3.806,0.7,54.0
6,MANDALUYONG,0.2705,3.423,3.827,0.3,68.1
7,MAKATI,0.3341,0.404,3.108,0.6,82.5
8,CALOOCAN,0.3778,0.216,3.715,1.9,67.2
9,MUNTINLUPA,0.3914,0.334,2.359,0.1,75.2
10,MARIKINA,0.4652,0.467,1.826,0.7,72.2
11,LAS PINAS,0.697,0.695,1.033,0.7,64.1
12,VALENZUELA,0.7489,0.383,0.956,0.7,47.4
13,PASAY,0.813,0.278,0.0,0.5,82.4
14,TAGUIG,0.8431,0.607,0.882,2.0,64.9
15,QUEZON CITY,0.8733,0.696,1.571,0.7,79.0
16,PASIG,0.9341,0.587,0.456,2.1,70.6
17,MANILA,1.0,0.771,0.891,1.6,79.5
